James Smith
Adebayo Ogunleye
Tunde Adetokunbo
Kwame Ofori
Boubacar Diallo
Youssef Ouattara
Thabo Mokoena
Ahmed Abdi
Abubakar Mohammed
Samuel Okeke
Sizwe Dlamini
Kwesi Boateng
Nkosinathi Zulu
Ibrahim Touré
Salif Keïta
Seydou Diarra
Hassan Farah
Tesfaye Bekele
Daniel Kipkorir
Musa Suleiman
Idrissa Camara
Ousmane Diop
Mamadou Ba
Alain Ndour
Modou Njie
Balewa Adeola
Azubuike Eze
Bolaji Balogun
Bright Okechukwu
Biko Mathabo
Chukwuemeka Eze
Emmanuel Njoroge
Festus Adekunle
Gideon Mwanza
Habib Diallo
Issa Ndiaye
Jalil Kamara
Khamisi Malamba
Lamine Gueye
Makena Wachira
Ndubuisi Chukwu
Oluwafemi Akande
Precious Okeke
Rashid Shabani
Sekou Traore
Tendai Moyo
Uche Amadi
Victor Ncube
Winston Koffi
Yaro Jallow
Zuberi Said
Abiola Adedeji
Baraka Mponda
Chinonso Umeh
Dumi Khumalo
Ebenezer Appiah
Femi Balogun
Gbolahan Lawal
Hasani Ndhlovu
Ibrahima Sow
Jelani Njenga
Kabelo Ramotse
Lamin Jawara
Mbwana Ally
Nnamdi Obi
Omar Bah
Paulino Ndaw
Quadri Adebowale
Raphael Kazadi
Salomon Nkosi
Tafadzwa Moyo
Umar Farouk
Luca Rossi
Pierre Dubois
Hans Müller
Marco Bianchi
José García
Erik Svensson
Tomáš Novák
Andrei Petrov
Ivan Ivanov
Jan Kowalski
Miguel Fernández
Stefan Popescu
Niklas Schmidt
Dimitrios Papadopoulos
Fernando Silva
Vladimir Kovačić
Alessio Russo
Patrick O’Connor
Sean Murphy
Martin Johansson
Niels Andersen
Rasmus Larsen
Mihai Ionescu
René Lefevre
Philippe Martin
Daniel Horváth
Jozef Černý
Luis Martinez
Elio Costa
Milosav Janković
Goran Marković
Antoine Laurent
Karl Bauer
Sebastian Weber
Andreas Fischer
Jordi Torres
Hugo Morales
Diego López
Kevin O’Brien
Patrick Byrne
Liam Gallagher
Conor O’Sullivan
Seán O’Brien
Michael McCarthy
Emil Eriksson
Johan Olsson
Aleksandr Volkov
Mikhail Smirnov
Yaroslav Petrov
Pavol Kováč
Levente Szabó
Zoltán Horváth
Mirza Aliyev
Matej Horvat
Luka Kovačić
Juraj Novak
Josef Horák
Dominik Maier
Lucas Meier
Viktor Nagy
Balázs Tóth
Christos Georgiou
Petros Antoniou
Nikos Konstantinidis
Giorgos Papas
Antonis Christodoulou
Romain Petit
Olivier Charpentier
Baptiste Renault
Hugo Dupont
Etienne Girard
Thomas Durand
Claude Lemaire
Jean-Paul Moreau
Laurent Gauthier
Wei Zhang
Jun Wang
Lei Li
Bo Chen
Kai Liu
Xiang Wu
Hao Xu
Ming Zhao
Peng Li
Yu Lin
Chao Sun
Feng Zhou
Tao Huang
Wen Xu
Jian Peng
Zhi Yang
Guo Luo
Hui Dong
Jian He
Wei Sun
Kenji Sato
Yuki Suzuki
Takashi Yamamoto
Daisuke Kobayashi
Koji Nakamura
Shota Yamazaki
Yusuke Ito
Satoshi Nakajima
Kazuki Matsumoto
Taro Fujimoto
Min-Joon Park
Seung-Ho Lee
Ji-Hoon Kim
Dong-Hyun Choi
Sung-Min Jung
Hyun-Woo Lim
Jae-Hyun Shin
Sang-Woo Kang
Seok-Jin Yoon
Chan-Wook Kwon
Akira Saito
Hiroki Taniguchi
Yuji Murakami
Ryo Sasaki
Ken Watanabe
Genki Yamashita
Seiji Okazaki
Tetsuo Mori
Kaito Takahashi
Yuto Matsuda
